,Unnamed: 0,Review Content,cleanedReviews,sentiment_scores,sentiment_category,is_bad_review,nb_chars,nb_words
11,11,"  I bought it in 2018. Still works very well. Sound quality is also very good. It is a good product in this price range. Remote controller is still working! That is a very good thing. Even remote controllers of big brands are not so long lasting. If you are a bass lover definitely it is worth buying. Remember one thing it is not an extra ordinary product. You will get a nice product in reasonable price.

",bought still work well sound quality also good good product price range remote controller still work good thing even remote controller big brand long lasting bass lover definitely worth buying remember one thing extra ordinary product get nice product reasonable price.,0.197,positive,0,269,41
12,12,"  Very good product at this price level and not complain. Good packing and delivered on time. Decent output for a big hall. Suitable for home and office. Well designed with all cables including a remote control.

",good product price level complain good packing delivered time decent output big hall suitable home office well design cable include remote control.,0.336,positive,0,147,22
13,13,"  This is one of the best music system for home use.. boss  is little much low and not controlled by us it's in constent position..over all the sound clarity is very good and this price range you will get everything like Bluetooth,USB, Memory card, Aux don't think too much just go for this.

","one best music system home use boss little much low control constent position..over sound clarity good price range get everything like bluetooth,usb memory card aux think much go this.",0.352,positive,0,184,29
14,14,"  I am writing this review after using it for 4 months. Based on my experience initially, I had returned this thinking this as defective but second unit was same again.What is good?1. Sound is really very loud for playing indoor.2. A good product at this price range.What can be improved?1. Bluetooth connectivity and connection strength. Signal drops and it feels you are streaming something with slow internet.2. When power cuts, it by default resets to maximum volume.3. Sound has distortion while playing at maximum volume.4. Aux cable is just 1 meter.5. Sound quality is better on BT than aux cable though it should be same.6. Remote doesn't work even at the distance of 4-5 meter. You need to go very close to the speaker.Should I buy this?Yes, if you have budget constraints and can't invest additional 2-3K. Buying this product at 3K is not a bad deal.Bottom line:Add 2K more in your budget and go for another product for better sound experience.

",write review use month base experience initially return think defective second unit again.what sound really loud play good product price range.what bluetooth connectivity connection strength signal drop feel stream something slow power cut default reset maximum sound distortion play maximum aux cable sound quality well bt aux cable though remote work even distance meter need go close speaker.should buy this?yes budget constraint can't invest additional buying product bad deal.bottom line:add budget go another product well sound experience.,0.042,positive,0,545,77
15,15,"  DO NOT BUY THIS if looking for a home theatre.THERE IS NO REFUND POLICY ON THIS PRODUCT. You can replacement BUT CANNOT RETURN.NO BASS at all. Music volume is okayIt's a typical computer speakers, good for listening music if you are connecting through a PC or a laptop.

",buy look home theatre.there refund policy product replacement cannot return.no bass music volume okayit's typical computer good listen music connect pc laptop.,0.128,positive,0,159,22
16,16,"  Its nice home theater in this price (1999).Its sound is really good.I'm enjoying it.☺

",nice home theater price sound really good.i'm enjoy it.☺,0.4,positive,0,56,9
17,17,"  The two accessories are missing. About the sound quality, center speaker's performance is not good as there is some external buzzing sound when the volume increases. The box is also broken, it maybe during the shipping. It's better to take some measures during the packing in order to avoid breaking during shipping.

",two accessory miss sound quality center speaker's performance good external buzzing sound volume increase box also broken maybe ship well take measure pack order avoid breaking shipping.,0.167,positive,0,186,27
18,18,"  I bought this product in June 2020, but just after a month 2 of the audio output ports stopped working.Now I am managing with the remaining 2 ports.Although the sound quality, Bass , Woofers are really good. The only issue is with the quality of RCA ports, which are of very cheap quality.Also, it shows 1 Year warranty but customer has to visit the service center, and sadly there is only 1 in entire Bangalore city, which is too far to travel.To summarize, I wouldn't recommend, as buying this product is just a LUCK, as how long it will sustain has not guaranty.

",buy product june month audio output port stop working.now manage remain ports.although sound quality bass woofer really good issue quality rca port cheap quality.also show year warranty customer visit service center sadly entire bangalore city far travel.to summarize recommend buy product luck long sustain guaranty.,0.163,positive,0,317,45
19,19,"  I received my package on 7 January 2019 after ordering on 6 January 2019. I like the speaker and sound and everything is good. But when I looked at the remote it was broken. The photo is proof. I bought the item from Appario Retail Private Ltd. I don't have the time or energy for replacement so I have to live with it. Please be careful while buying this product.

",receive package january order january like sound everything good look remote broken photo proof buy item appario retail private ltd time energy replacement live please careful buying product.,0.091,positive,0,191,28
20,20,"  Zebronics  4.1 audio system is very good product in its class. Excellent sound quality. The major defect i found is with FM receiver. No clarity in FM.Very poor reception. I live in city area with more than 5 FM station reception. Another defect is lack Trible - Bass controller in base set and in remote. The FM reception problem was already i faced with another Zebronics product in another locality. So i think the zebronics authorities should should address the issue immediately for their products. Apart from that this product is excellent and worth for money you spent.Also this time i got this product delivered by INDIA POST and not say a pathetic delivery experience with lack of packing, careless handling, packet opened and worst behavior.

",zebronics audio system good product class excellent sound quality major defect find fm receiver clarity fm.very poor reception live city area fm station reception another defect lack trible bass controller base set remote fm reception problem already face another zebronics product another locality think zebronics authority address issue immediately product apart product excellent worth money spent.also time get product deliver india post say pathetic delivery experience lack pack careless handle packet open bad behavior.,-0.003,negative,1,526,74
21,21,"  I use it along with my smartv (bluetooth), mobile (Bluetooth and Aux), USB flash drive and the performance and sound quality is superb for this price range.  Sound quality is superb, remote performance is good, BT connection is fast and overall look is goodTHough had some issue with FM reception, probably might be due to fact that the system is kept somewhat inside. Still FM receiver is not good tried at multiple placesupdate : FM receiver is very poor. Even when keepong the set neat to windows, it is unable to catch signal

",use along smartv bluetooth mobile bluetooth aux usb flash drive performance sound quality superb price range sound quality superb remote performance good bt connection fast overall look goodthough issue fm reception probably might due fact system keep somewhat inside still fm receiver good tried multiple placesupdate fm receiver poor even keepong set neat window unable catch signal,0.252,positive,0,384,57
22,22,"  No bass control. Volume control is so messed up when connected through Bluetooth. Aux at high volume gives out a humming noise.LR and RR speakers stopped working in 6 months. Even after service center repaired it, the same issue occasionally pops up.I fitted the RL and RR speakers at the corners of my room using good quality RCA cable extenders. But the sound coming out is those two is very low. Also note that these are not surround speakers.The only reason I'm giving 3 stars is due to its low price point.

",bass control volume control mess connect bluetooth aux high volume give hum noise.lr rr stop work month even service center repair issue occasionally pop up.i fit rl rr corner room use good quality rca cable extenders sound come two low also note surround speakers.the reason i'm give star due low price point.,0.101,positive,0,310,52
23,23,"  Excellent, I bought one each for my boys and they are loving it. The volume is great and our hall fills up when it plays. Bass and treble perfect for listening and occasional party mood. Bluetooth connectivity is perfect and I can carry my mobile around home while it plays.

",excellent buy one boys loving volume great hall fill play bass treble perfect listen occasional party mood bluetooth connectivity perfect carry mobile around home plays.,0.607,positive,0,169,25
24,24,"  Previous speaker where faulty. Non of the port cable we're fitting properly. Thus asked for replacement. The replacement arrived in just 2 days. Thanks to Amazon for super fast delivery.I am happy with my 2nd parcle. The speaker where in good condition.. working well..good sound and bass.. overall value to money.Deducting 2 star for sending defauled speaker.. else would have given 5 stars.

",previous faulty non port cable we're fit properly thus ask replacement replacement arrive day thanks super fast delivery.i happy parcle good condition work well..good sound bass overall value money.deducting star send defauled else would give stars.,0.247,positive,0,249,36
25,25,"  Got it for 2499 during Independence day sale.Amazon took 8 days to dispatch it and delivered it the 10th day (worst delivery experience till date.)The product came in the original Zebronics packaging.The sound quality was OK.I would say OK because it was not very good as a 4.1 channel speaker should be.Pros:RGB lights look beautiful.Bluetooth connectivity is good.The sound is loud enough.The speaker's cable length is more than 1mtr each.Cons.The woofer doesn't have a bass controller.There were no batteries for the remote.The small speaker's sound is not loud enough hence the bass overtakes the trebles.Now the problem beginsI was not satisfied by the quality so I decided to return it and optend for a refund.The pickup date was 5 days late so I thought I can listen till the pickup date.BUT the speaker stopped working the same day while listening to music.Only the RGB lights were on, the display / indicator didn't even turn on again.That was a DEFECTIVE ITEM.

",get independence day sale.amazon take day dispatch deliver day worst delivery experience till date.)the product come original zebronics packaging.the sound quality ok.i would say ok good channel be.pros:rgb light look beautiful.bluetooth connectivity good.the sound loud enough.the speaker's cable length each.cons.the woofer bass controller.there batteries remote.the small speaker's sound loud enough hence bass overtakes trebles.now problem beginsi satisfy quality decide return optend refund.the pickup date day late think listen till pickup date.but stop work day listen music.only rgb light display indicator even turn again.that defective item.,0.12,positive,0,651,85
26,26,"  Nice product for the price... Actually using it for a month. No problem so far. The sound quality is good not great and the look too...  It's sad that there is no knob to control bass and treble... The sub woofer itself is not pumbing enough bass... The FnD 2.1 I had earlier was producing more thumbing bass than these ones... Another downside is the aux input... its terrible! Don't know whether its with the cable or the system... Bluetooth is working fine.. i would say the sound quality is better when connected via Bluetooth... The system could have included a memory function so that every time when we switch on the system It goes to the previously used input.... Unfortunately its going to aux input every time we switch on the system.... Remote included is pretty good... Usb/sd input is working fine but the Radio is not working for me... I have tried a lot of time but not getting any channels. Overall an avg speaker system producing a good sound with below avg bass....

",nice product price actually use month problem far sound quality good great look sad knob control bass treble sub woofer pumbing enough bass fnd earlier produce thumb bass one another downside aux input terrible know whether cable system bluetooth work fine would say sound quality well connect via bluetooth system could include memory function every time switch system go previously use input unfortunately go aux input every time switch system remote include pretty good usb/sd input work fine radio work try lot time get channel overall avg system produce good sound avg bass....,0.121,positive,0,582,93
27,27,"  A great product for the price. Does it's job pretty well. Bass is isn't that loud and thumping but that's acceptable for the price. Got it for Rs2300! Loudness is great (60W RMS). VOCALS are great. Its easy to use, bit less durable but sound is amazing. The remote I received was cracked and the packaging by the seller wasn't good. I have already given a feedback regarding this to the seller. The system however managed to get delivered in working condition. To sum up, it's a great system that would fulfill your most demands. Remember, it's a budget music system.

",great product price job pretty well bass loud thump that's acceptable price get loudness great rms vocal great easy use bit less durable sound amazing remote receive cracked packaging seller good already give feedback regard seller system however manage get deliver work condition sum great system would fulfill demand remember budget music system.,0.405,positive,0,348,53
28,28,"  I did purchase it in 2018 , The seller already delivered me defective product first time , The product was all broken from outside and inside , Now talking about the audio quality of this product,Sound :- 2/5Bass - 2/5Build Quality - 3/5Overall You'll not be satisfied on this speaker if you're yourself an audio lover like me , I bought it for 1.8K and next day I sent the product back to amazon and luckily I got the refund .

","purchase seller already deliver defective product first time product break outside inside talk audio quality product,sound quality satisfy audio lover like buy next day send product back luckily get refund",0.117,positive,0,205,30
29,29,"  Super awesome SpeakerBass is oktreble is okusb supporting finelyclear soundStylish design light in sub wooferThanx zebronics

",super awesome speakerbass oktreble okusb support finelyclear soundstylish design light sub wooferthanx zebronics,0.578,positive,0,112,13
30,30,"  I am using it from 2 weeks and i felt that the item is worth buying from bass quality to the loudness all things arw excdllent. What i felt quite negative is its wires, the wires seems too thin to provide more flexibility but on the same it seems quite weak. So, anyways thumbs up for this item a very good purchase that i made so far

",use week felt item worth buying bass quality loudness thing arw excdllent felt quite negative wire wire seem thin provide flexibility seem quite weak anyways thumbs item good purchase make far,-0.018,negative,1,192,31
31,31,"  Sound is great but bass is just gud. Product is ok. You can't change bass and treble from main deck. And also there is no equalizer settings for aux. Equalizer will work only in USB and MMC. Sound output is above average. Good product quality. Dancing LED on main deck is attractive.Delivery from Amazon is on time. Took another 1 day for delivery after they promised. With bluetooth we can modify the audio with punchy bass and less vocal or instrumentals. The 4 inch bass box surprises you in 80% of volume but at higher volumes it can't reach the peps.

",sound great bass gud product ok can't change bass treble main deck also equalizer setting aux equalizer work usb mmc sound output average good product quality dance lead main deck attractive.delivery time take another day delivery promise bluetooth modify audio punchy bass le vocal instrumentals inch bass box surprise volume high volume can't reach peps.,0.196,positive,0,356,55
32,32,"  We got these set of speaker in the month of october last year. I wanted to check how long and how well it maintains it's quality and then post a review. I must say it's one of the best buys so far. Awesome sound quality, bass is too good. I good this at 3k which is way too cheap for a product with such a nice quality. Budget friendly and quality product. Too satisfied!

",get set month october last year want check long well maintain quality post review must say one best buy far awesome sound quality bass good good way cheap product nice quality budget friendly quality product satisfied!,0.438,positive,0,218,36
33,33,"  Bought it on 4/10/2017. Writting this review after 3 years (i,e.17/10/2020) 😁. Just to appreciate the Zebronics product quality at an affordable price.About the home theatre,Good sound quality. I only use this to listen music through bluetooth. Bluetooth range is only around 15feet. Base is good.Good for 10*15 room. ( I tried this with led t.v , it worked pretty good).Overall worth the price.( I came across this product on Great Indian sale, I'm writing this review to help whoever planning to buy this)

","buy writting review year appreciate zebronics product quality affordable price.about home theatre,good sound quality use listen music bluetooth bluetooth range around base good.good room try led t.v work pretty good).overall worth price come across product great indian sale i'm write review help whoever plan buy this)",0.19,positive,0,319,46
34,34,"  I am an user of Onkyo systems for years. Was sceptical about buying zebronics, but the sound quality exceeded my expectations, superb sound quality to fill up the room, boomy bass, Sound is good for 75% of volume, beyond that it looses quality. Good for a small room for laptop, Bluetooth connectivity is very good.

",user onkyo system year sceptical buying zebronics sound quality exceed expectation superb sound quality fill room boomy bass sound good volume beyond loos quality good small room laptop bluetooth connectivity good.,0.433,positive,0,214,31
35,35,"  The speakers have very good sound quality. The remote works for a long time. The battery consumption is less. The Bluetooth connects without any problem to any phone/laptop.I would like more controls but unfortunately, there are no controls for bass and treble. It has only one setting for these, but it is good.The service:The service was amazing as always, the item was delivered timely in perfect condition.

",good sound quality remote work long time battery consumption less bluetooth connects without problem phone/laptop.i would like control unfortunately control bass treble one set good.the service:the service amaze always item deliver timely perfect condition.,0.142,positive,0,257,34
36,36,"  Over all I am happy with the sound quality, you only get what you pay for so that way it’s value for money. But the buttons on the woofer doesn’t work properly you have to try multiple times also batteries not included for the remote, not a deal breaker but it has become a common custom to include  batteries as part of your purchase.

",happy sound quality get pay way it’s value money button woofer doesn’t work properly try multiple time also battery include remote deal breaker become common custom include battery part purchase.,0.133,positive,0,195,30
37,37,"  Edited: Replaced product not working after 1 month of uses. NO home service and NOT support for warranty.I ordered at received with really fast delivery. Sound quality is very good with bass. Features support good. Remote functions properly.My cons: Item received was not as new. I think I got product returned by a customer after some use, and Buttons on sub-woofer are not working at all. One volume control working.I Will edit it star rating after replacement.

",edit replaced product work month use home service support warranty.i order receive really fast delivery sound quality good bass feature support good remote function properly.my con item receive new think get product return customer use button sub-woofer work one volume control working.i edit star rating replacement.,0.269,positive,0,317,46
38,38,"  I'm giving 5 star because it's a beautiful product. Very nice sound quality. Awesome bass. Full rock sound. It's amazing. Zebronics gives fantastic products. Beautiful Design. Value of money. Every one should buy this. I recommend this product to everyone who needs a good sound system.

",i'm give star beautiful product nice sound quality awesome bass full rock sound amazing zebronics give fantastic product beautiful design value money every one buy recommend product everyone need good sound system.,0.533,positive,0,214,32
39,39,"  Perfect Bluetooth 2.1 speaker, must buy product from zebronics. Good bass and terable preset, no option to reset. But that doesn't matter, we can set from player. I can play my cell phone songs from any part of my flat with ease. Thanks Amazon for dispatching before time with complete safety.

",perfect bluetooth must buy product zebronics good bass terable preset option reset matter set player play cell phone song part flat ease thanks dispatch time complete safety.,0.304,positive,0,174,27
40,40,"  Sound quality is great. There is no bass control so you cannot set bass to high or low. All you can set is the master volume.Bluetooth connectivity is decent. You can play music from your phone using BT option.Earlier the item delivered had issues and sound and bass was really bad. So if you get such a delivery please ask for replacement as it would be a defective piece. The item delivered as replacement was good and the sound is really nice and bass is also decent. Overall it's a good product in this price range and good for home usage.Radio is also good has good antenna, just that setting and saving the channel is a task.Can connect to computer but the cable provided with the box to connect the woofer to the CPU is really small.Overall the product is great and the sound is very clear and you would love to listen to the songs on this system. Connect your phone and enjoy the songs.

",sound quality great bass control cannot set bass high low set master volume.bluetooth connectivity decent play music phone use bt option.earlier item deliver issue sound bass really bad get delivery please ask replacement would defective piece item deliver replacement good sound really nice bass also decent overall good product price range good home usage.radio also good good antenna set save channel task.can connect computer cable provide box connect woofer cpu really small.overall product great sound clear would love listen song system connect phone enjoy songs.,0.296,positive,0,570,85
41,41,"  Speaker is awesome but started making humming/buzzing sound from all the four speakers. Customer Support is very bad. They don't have troubleshooting techniques and the service center is just want to make money. I would not recommend this product.

",awesome start make humming/buzzing sound four customer support bad troubleshoot technique service center want make money would recommend product.,0.15,positive,0,145,19
42,42,"  My favorite brand longingly to buy since 1997,  when I first saw Zebratronic sytems in Mumbai exhibition stall at BKC.  I have used other brand systems but didn't get satisfaction. With affordable price. Atlast I bought this system last week from Amazon at 2999 without any deal. Very powerful sound, every thing perfect. Only thing I wanted in this system was wireless speakers and 5.1 Dolby .  For 10x15 room 60watt out is sufficient.  I hope the manufacturer will upgrade the model to above mentioned suggestions with affordable price.

",favorite brand longingly buy since first saw zebratronic sytems mumbai exhibition stall bkc use brand system get satisfaction affordable price atlast buy system last week without deal powerful sound every thing perfect thing want system wireless dolby room sufficient hope manufacturer upgrade model mention suggestion affordable price.,0.408,positive,0,336,47
43,43,"  Surprisingly stopped working on 1st day only. Can't believe Amazon is selling all faulty products. Bellow avarage product, sound quality is acceptable but the volume control is a complete disaster. Quality of the plugs and wires are terrible. Bluetooth connectivity is old version but still works. My suggestion would be invest a little more and get atleast brands like Phillips or Sony.

",surprisingly stop work day can't believe sell faulty product bellow avarage product sound quality acceptable volume control complete disaster quality plug wire terrible bluetooth connectivity old version still work suggestion would invest little get atleast brand like phillips sony.,0.019,positive,0,283,39
44,44,"  This is very small,not like what you in pic, like the ones you got earlier with your desktop PC. Sound quality, not good,looks wise cheap,  speakers not proper working, in aux mode, only two rt speakers work.no on off from front. Highly overpriced, low in quality and performance. You cannot return it, you to bear with it and repent over it , thanks to Amazon.

","small,not like pic like one get earlier desktop pc sound quality good,looks wise cheap proper work aux mode two rt work.no front highly overprice low quality performance cannot return bear repent thanks amazon.",0.232,positive,0,210,33
45,45,"  1. I am not a audio nerd by any standards. For me its sounds about right for what I expected.2. I mainly use it while watching movies in home theater projector. Connected directly through the 3.5mm Jack.3. Also used to hear FM station, which it had no trouble picking up.4. Remote works well and the led light is also good.

",audio nerd standard sound right mainly use watch movie home theater projector connect directly also use hear fm station trouble pick remote work well lead light also good.,0.195,positive,0,171,28
46,46,"  The sound quality is ok, a minute after I plugged it has a very bad noise even in stand by mode then I thought it has some defect and replaced it with amazon the service from amazon is quite good and impressive a 2nd day I got the replace by another. But surprised me the 2nd one also the same problem IS IT NORMAL? or I got bad luck? twice.

",sound quality ok minute plug bad noise even stand mode think defect replaced service quite good impressive day get replace another surprised one also problem normal get bad luck twice.,0.181,positive,0,184,30
47,47,"  1) It was delivered before one day, than it was expected.2) If Indian products are so nice and awesome why we should go with other products. It is really very nice. Sound is awesome. At this price range this is the best. Truely speaking just got for it.. Everything is perfect.3) The sound is clear.4) Quality is good and led is very attractive.5) Bass is also good.Infact, everything is better than expected.6) There is a space for improvement in the wires, it would be a bit long.Thanks Zebronics (Proud to use products made in India)

",delivered one day indian product nice awesome go product really nice sound awesome price range best truely speak get everything sound quality good lead bass also good.infact everything well space improvement wire would bite long.thanks zebronics proud use product make india),0.609,positive,0,275,41
48,48,"   I would say this product is the best at this price, I am totally satisfied with everything related to this product. I would recommend everyone to buy this one who are looking for a best quality home theater. Sound quality is really awesome!! And the quality of speakers and woofer box is amazing!! Well designed!! Well packed !!No Cons are found so far in this product. Completely loved it. Thank you so much Zebronics for best quality and assurance and special thanks to Amazon for lovely service.😍

",i would say product best price totally satisfy everything related product would recommend everyone buy one look best quality home theater sound quality really awesome quality woofer box amaze well design well packed con find far product completely love thank much zebronics best quality assurance special thanks lovely service.😍,0.481,positive,0,328,49
49,49,"  Sound quality great, bluetooth connectivity is average but manageable if there is no obstacles in between.I will say one thing for this price it is best. Vocal and bass are balanced. You will not feel any distortion even when volume is high. So if any one willing to purchase in this price range, simply go for it. You will not regret.

",sound quality great bluetooth connectivity average manageable obstacle between.i say one thing price best vocal bass balance feel distortion even volume high one willing purchase price range simply go regret.,0.289,positive,0,208,30
50,50,"  I bought these on my birthday.Delivered exactly on date.Nice speakers.Love them.Good sound, loud enough for a jam session.Breathing RGB LED.Small chords for surround, so basically I cut the chords and tape normal wire to it.Now there's one speaker at the end of the room in each corner, while the woofer sits beneath TV.Cinema experience...😉

",bought birthday.delivered exactly date.nice speakers.love them.good sound loud enough jam session.breathing rgb led.small chord surround basically cut chord tape normal wire it.now there's one end room corner woofer sit beneath tv.cinema experience...😉,0.18,positive,0,252,32
51,51,"  As usual, I read all the reviews, both positive and negative before buying this. But thought of trying my luck as I believe in Zebronics products. quick delivery by Amazon. overall great performance at this price range. Bass and Treble are good. bluetooth is working even through abstacles and the phone is not in straight line with speakers (tested from other room). Volume is sufficient enough for 2 BHK flat. Remote is working well. They are providing remote without batteries, we need to buy them seperately. There is No Bass control, which is something negative I can say.

",usual read review positive negative buying think try luck believe zebronics product quick delivery overall great performance price range bass treble good bluetooth work even abstacles phone straight line test room volume sufficient enough bhk flat remote work well provide remote without battery need buy seperately bass control something negative say.,0.059,positive,0,352,51
52,52,"  Poor quality product!!!Don't buy it!!!Total waste of money!!!The woofer stopped working after 15 days of purchase,bluetooth doesn't work.Just the woofer light turns on when plugged in.There's no information anywhere about where to get it fixed from even though the product has one year warranty.What is use of this warranty I wonder.I don't think there's anyone to solve and look into this matter.Highly disappointed.

","poor quality product!!!don't buy it!!!total waste money!!!the woofer stop work day purchase,bluetooth work.just woofer light turn plug in.there's information anywhere get fix even though product one year warranty.what use warranty wonder.i think there's anyone solve look matter.highly disappointed.",-0.238,negative,1,299,38
53,53,"  If you are looking for good quality speakers and whooper, then just go with this one. The sound quality is super awesome, this set can turn your home into a dance floor very easily and very 

Zebronics BT4440RUCF 4.1 Channel Bluetooth Speakers

  quickly too

",look good quality whooper go one sound quality super awesome set turn home dance floor easily very zebronics channel bluetooth speakers quickly too,0.494,positive,0,147,23
54,54,"  The overall system is average.... Sounds and bass are also average.... Bt the delivery system are poor... The men who deliver this to me this morning are so careless.... The stored this system very carelessly.. As a result the remote broke up..... Bt not fully damaged its working after I install batteries in this.... One more drawback is that they don't provide battery for the remote... Other wise it's good under this range.... Better than expected.... I was very confused to buy music system.... After many research I found this one.. Hopping will fulfill the expectations... And it does...... If you are also willing to have a home theatre under 2.5k... You can go with it... Surely it will stand on your expectations.... Bt the delivery men should be careful....... Thnks

",overall system average sound bass also average bt delivery system poor men deliver morning careless store system carelessly result remote break bt fully damage work install battery one drawback provide battery remote wise good range well expect confused buy music system many research find one hopping fulfill expectation also willing home theatre go surely stand expectation bt delivery men careful thnks,0.029,positive,0,405,61
55,55,"  Got a non Bluetooth version first time. Second time, on return, they sent a product that's damaged, and bluetooth disconnected after sometime and couldn't connect till it was switched on and off. I had seen good reviews but its strictly not worth ut.

",get non bluetooth version first time second time return sent product that's damage bluetooth disconnect sometime connect till switch see good review strictly worth ut.,0.312,positive,0,167,25
56,56,"  When I press the input mode change buttons on speaker or the remote there are only three optionsAUX, Bluetooth and FM.. but no option for USB and SD card selection. So even if there is ports for USB and SD cards no option to select it.Is anyone there facing the same problem?

",press input mode change button remote three optionsaux bluetooth fm option usb sd card selection even port usb sd card option select it.is anyone face problem?,-0.1,negative,1,159,26
57,57,"  sound quality is ok bass is not good and if you are buying it for Bluetooth dont buy the worst Bluetooth quality and range i had to buy portable Bluetooth device to make it wireless ok aux  go for something els is you want wireless speaker

",sound quality ok bass good buying bluetooth dont buy bad bluetooth quality range buy portable bluetooth device make wireless ok aux go something el want wireless,0.208,positive,0,161,26
